uuid,user_age,device,computer_time,target_object_id,misses,movement_time,index_difficulty
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,20,0,1.117,1.991
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,9,0,1.000,1.356
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,2,0,1.100,1.540
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,13,0,0.833,2.269
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,12,0,0.883,1.470
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,21,0,0.900,2.176
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,22,0,0.834,0.884
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,19,0,1.350,3.572
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,11,0,0.950,1.273
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,5,0,1.050,1.692
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,16,0,1.533,3.012
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,4,0,1.150,3.053
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,17,0,0.733,1.780
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,1,0,0.951,2.538
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,10,0,1.116,3.069
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,8,0,1.050,2.376
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,0,0,1.083,2.484
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,18,0,0.833,1.937
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,15,0,1.101,3.965
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,6,0,1.050,2.421
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,3,0,0.900,1.025
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,7,0,0.767,1.508
cd1842cb-4771-4c16-9de8-cc3e1bf66275,27,Trackpad,14,14,0,1.283,1.816
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,18,0,0.846,1.997
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,17,0,0.679,0.707
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,11,0,0.612,2.033
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,10,0,0.517,1.725
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,21,0,0.729,3.013
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,19,0,0.651,3.124
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,9,0,0.512,0.893
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,3,0,0.646,1.710
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,2,0,0.404,0.969
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,20,0,0.617,2.400
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,12,0,0.554,1.274
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,22,0,0.567,1.227
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,7,0,0.437,1.991
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,0,0,0.534,2.219
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,16,0,0.742,3.432
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,1,0,0.504,2.371
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,14,0,0.850,3.007
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,4,0,0.829,3.724
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,15,0,0.725,4.244
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,6,0,0.513,2.521
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,5,0,0.417,1.010
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,13,0,0.470,2.006
2efdf886-71a0-492f-9a1a-74f47b9f0ea1,25,Mouse,14,8,0,0.438,1.640
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,0,0,2.000,3.020
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,9,0,1.000,1.614
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,18,0,0.582,0.796
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,22,0,0.951,2.104
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,2,0,0.784,1.960
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,21,0,1.099,3.660
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,16,0,0.801,3.510
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,1,0,0.733,2.387
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,17,0,0.917,2.134
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,4,0,0.833,3.245
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,14,0,1.083,3.686
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,15,1,1.283,1.348
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,20,0,0.766,1.915
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,7,0,0.851,2.192
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,13,0,0.767,1.605
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,8,0,0.900,1.592
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,6,0,0.900,2.524
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,3,0,0.783,1.076
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,12,0,0.800,2.233
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,10,0,0.817,2.936
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,11,0,0.683,0.793
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,5,0,0.700,1.420
849f6e05-bde2-4665-ab3d-28ea8786feb3,22,Mouse,5,19,0,1.183,3.072
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,6,0,1.034,3.990
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,8,0,0.667,1.469
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,3,0,0.583,0.998
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,14,0,1.148,2.720
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,20,0,0.784,1.842
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,17,0,0.868,1.705
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,22,0,0.783,2.346
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,0,0,0.833,2.535
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,19,0,1.017,3.592
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,18,0,0.583,0.564
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,16,0,0.834,2.030
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,21,0,1.133,4.002
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,4,0,1.067,3.577
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,13,0,0.800,2.795
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,11,0,0.716,1.915
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,2,0,0.683,1.464
77d00f41-edbe-45ab-a40e-23cfebac5bd9,22,Trackpad,5,1,0,0.667,1.011
